operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5614932,-58.4681556",81000,USD,1228154.4,81000,34,31,2382.352941,2612.903226,,1,1000,http://belgrano.properati.com.ar/12ebv_venta_departamentos_belgrano_balcon_galceran
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.3963760332,-58.7228682058",120000,USD,1819488,120000,1300,120,92.30769231,1000,,5,,http://nordelta.properati.com.ar/rm14_venta_casa_tigre
sell,PH,|Argentina|Capital Federal|Villa Urquiza|,"-34.5689455,-58.4995249",,,,,95,60,,,1,3,,http://villa-urquiza.properati.com.ar/107vy_venta_ph_villa-urquiza_patio_estrenar_ibanez-propiedades
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5688699,-58.4570192",,,,,134,,,,,2,,http://belgrano.properati.com.ar/rled_venta_departamentos_belgrano
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|,"-34.6762123,-58.7132149",195000,USD,2956668,195000,,,,,,,,http://merlo-bs-as-g-b-a-zona-oeste.properati.com.ar/e8vj_venta_casa_san-martin
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4311522,-58.8652795",1249344,ARS,1245876.36,82168.81,63,40,1304.266825,31233.6,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/s2b5_venta_departamentos_pilar
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5549647,-58.7240005",120000,USD,1819488,120000,0,,,,,,,http://san-miguel-bs-as-g-b-a-zona-norte.properati.com.ar/ryds_venta_casa_san-miguel
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,75000,USD,1137180,75000,24,40,3125,1875,,2,,http://ramos-mejia.properati.com.ar/s6v5_venta_casa_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.6600198,-58.6199275",65000,USD,985556,65000,,,,,,,,http://moron.properati.com.ar/yav7_venta_departamentos_moron_balcon_luminoso_oyhanarte-propiedades-castelar
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,,,,,,,,,,,,,http://hurlingham-bs-as-g-b-a-zona-oeste.properati.com.ar/11eea_venta_casa_hurlingham_suite_parrilla_piscina_toilette_vestidor_luminoso_amoblado_r-tavella-inmuebles_cz9
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudadela|,"-34.6374238,-58.5438162",92000,USD,1394940.8,92000,76,54,1210.526316,1703.703704,,3,,http://ciudadela.properati.com.ar/119qp_venta_ph_ciudadela_patio_impecable_cimarelli-propiedades
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.553122,-58.549783",135000,USD,2046924,135000,,20,,6750,,4,,http://villa-ballester.properati.com.ar/10oxm_venta_ph_general-san-martin_balcon_jardin_patio_luminoso_garage_re-max-full
sell,apartment,|Argentina|Capital Federal|Parque Chas|,"-34.5971495,-58.4917628",,,,,33,33,,,,1,,http://parque-chas.properati.com.ar/rdrf_venta_departamentos_agronomia
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Villa Bosch|,"-34.590947,-58.573643",,,,,,,,,,4,,http://villa-bosch.properati.com.ar/zl31_venta_casa_tres-de-febrero_jardin_parrilla_patio_terraza_luminoso_garage_re-max-oeste
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,95000,USD,1440428,95000,,55,,1727.272727,,2,,http://ramos-mejia.properati.com.ar/y5es_venta_departamentos_ramos-mejia_balcon_dubravka-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Avellaneda|,"-34.662248,-58.365678",84000,USD,1273641.6,84000,,81,,1037.037037,,3,,http://avellaneda.properati.com.ar/11rtp_venta_departamentos_avellaneda_lavadero_patio_terraza_re-max-concept
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,210000,USD,3184104,210000,,99,,2121.212121,,4,,http://ramos-mejia.properati.com.ar/smhp_venta_departamentos_ramos-mejia
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Loma Hermosa|,"-34.5720089638,-58.6004519463",42000,USD,636820.8,42000,37,,1135.135135,,,,,http://loma-hermosa.properati.com.ar/egop_venta_departamento_loma-hermosa
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,250000,USD,3790600,250000,,,,,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/11sx3_venta_casa_pilar_gimnasio_piscina_sauna_tenis_firenzevilas
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5844413853,-58.4258408735",148000,USD,2244035.2,148000,50,50,2960,2960,,,,http://palermo.properati.com.ar/e3wv_venta_departamento_palermo
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5546524,-58.4936437",225532,USD,3419606.39,225532,103,85,2189.631068,2653.317647,,4,,http://saavedra.properati.com.ar/12iz7_venta_departamentos_saavedra_baulera_luminoso_garage_le-bleu
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6111914,-58.4191533",117000,USD,1774000.8,117000,58,58,2017.241379,2017.241379,,3,1500,http://almagro.properati.com.ar/xtsq_venta_departamentos_almagro_rivadavia-av-_3700_luminoso_lujoso
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5546892452,-58.4670877302",138500,USD,2099992.4,138500,53,42,2613.207547,3297.619048,,2,,http://belgrano.properati.com.ar/11d8d_venta_departamentos_belgrano_balcon_suite_parrilla_piscina_toilette_vestidor_luminoso_garage_amoblado_aire-acondicionado_estrenar_lone-lighthouse_d9p
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6068546,-58.4087282",65000,USD,985556,65000,35,35,1857.142857,1857.142857,,2,948,http://once.properati.com.ar/zmbu_venta_departamentos_once_lavadero_luminoso_garage_adriana-streger-bienes-raices
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,480000,USD,7277952,480000,278,130,1726.618705,3692.307692,,4,,http://nordelta.properati.com.ar/12n74_venta_departamentos_nordelta_suite_jardin_luminoso_covello-propiedades_9ij
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,,722000,ARS,726262.88,47898.94,77,50,622.0641558,14440,,2,2500,http://canning-ezeiza.properati.com.ar/11jhi_venta_departamentos_canning_gimnasio_jardin_parrilla_piscina_sum_garage_belprop-de-luca
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5161204,-58.4748308",170000,USD,2577608,170000,47,44,3617.021277,3863.636364,3,,,http://olivos.properati.com.ar/12qhi_venta_departamentos_olivos_bartolome-cruz_1800_suite_toilette_vista_garage_placard_estrenar_codoni-sigma-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.577168,-58.538654",115000,USD,1743676,115000,280,100,410.7142857,1150,,4,,http://general-san-martin-bs-as-g-b-a-zona-norte.properati.com.ar/yrha_venta_casa_general-san-martin_terraza_garage_di-felice-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,97000,USD,1470752.8,97000,43,43,2255.813953,2255.813953,,1,,http://nordelta.properati.com.ar/12ql9_venta_departamentos_nordelta_placard_jumerosky-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Altos de Manzanares 1 y 2|,"-34.449033,-58.995252",380000,USD,5761712,380000,,240,,1583.333333,,5,,http://altos-de-manzanares-1-y-2.properati.com.ar/10040_venta_casa_altos-de-manzanares-1-y-2_baulera_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_quincho_sum_luminoso_sauna_electrogeno_garage_placard_aire-acondicionado_re-max-total-i
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,,250000,USD,3790600,250000,1100,171,227.2727273,1461.988304,,4,,http://escobar.properati.com.ar/11uez_venta_casa_escobar_suite_parrilla_piscina_quincho_vestidor_luminoso_tenis_amenities_fernandez-inmobiliaria
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4252806,-58.57046",115000,USD,1743676,115000,55,45,2090.909091,2555.555556,6,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/10ky8_venta_departamentos_tigre_saenz-pena_900_parrilla_piscina_sum_terraza_luminoso_amenities_placard_organizacion-acassuso-san-isidro
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,115000,USD,1743676,115000,,,,,,,,http://pilar.properati.com.ar/ztja_venta_departamentos_pilar_balcon_luminoso_placard_freire-negocios-inmobiliarios_cof
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|San Vicente|,,370000,USD,5610088,370000,400,350,925,1057.142857,,4,1600,http://san-vicente-bs-as-g-b-a-zona-sur.properati.com.ar/x11h_venta_casa_san-vicente
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Bella Vista|,"-34.584594,-58.703779",850000,USD,12888040,850000,,480,,1770.833333,,6,,http://bella-vista-san-miguel.properati.com.ar/10m9m_venta_casa_bella-vista_suite_gimnasio_hidromasaje_jardin_lavadero_parrilla_piscina_toilette_vestidor_dependencias_garage_tenis_aire-acondicionado_bella-vista
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6726291,-58.5666932",,,,,,,,,,,,http://san-justo-la-matanza.properati.com.ar/y1zu_venta_casa_san-justo_balcon_suite_hidromasaje_jardin_lavadero_patio_terraza_garage_anzalone-propiedades_9ut
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9134724,-57.9788854",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/yjl1_venta_departamentos_la-plata_balcon_mirta-libera-propiedades_b3a
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,18970,104,,,,3,,http://ramos-mejia.properati.com.ar/s5kb_venta_casa_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6386161,-58.5827739",80000,USD,1212992,80000,45,43,1777.777778,1860.465116,3,2,,http://haedo.properati.com.ar/jmp3_venta_departamento_haedo_doctor-luis-guemes_500
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6605531,-58.6652966",100000,USD,1516240,100000,,,,,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/ehzx_venta_departamento_ituzaingo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Villa Sarmiento|,,72000,USD,1091692.8,72000,,38,,1894.736842,,2,,http://villa-sarmiento.properati.com.ar/wggi_venta_departamentos_villa-sarmiento
sell,apartment,|Argentina|Capital Federal|San Telmo|,"-34.624129,-58.365332",218000,USD,3305403.2,218000,108,108,2018.518519,2018.518519,,3,,http://san-telmo.properati.com.ar/ze7q_venta_departamentos_san-telmo_luminoso_garage_leticia-firpo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Olivos Golf Club|,"-34.468682378,-58.7002698031",595000,USD,9021628,595000,2500,300,238,1983.333333,,,,http://olivos-golf-club.properati.com.ar/12g9m_venta_casa_olivos-golf-club_suite_jardin_lavadero_parrilla_piscina_quincho_dependencias_aire-acondicionado_losa-radiante_fyc-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,115000,USD,1743676,115000,,52,,2211.538462,,2,,http://ramos-mejia.properati.com.ar/11ch3_venta_departamentos_ramos-mejia_balcon_garage_impecable_losa-radiante_olivieri-luis-maria-negocios-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,74000,USD,1122017.6,74000,,32,,2312.5,,1,,http://ramos-mejia.properati.com.ar/12fw1_venta_departamentos_ramos-mejia_balcon_rodriguez-caceres-propiedades
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5662,-58.4647",180000,USD,2729232,180000,0,60,,3000,,3,,http://belgrano.properati.com.ar/xhea_venta_departamentos_belgrano_balcon_baulera_lavadero_sum_terraza_luminoso_garage
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.7025608,-58.5765284",890000,USD,13494536,890000,,,,,,3,,http://la-matanza.properati.com.ar/gbpn_venta_departamento_la-matanza
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,,90000,USD,1364616,90000,,,,,,,,http://ituzaingo.properati.com.ar/11hlf_venta_ph_ituzaingo_patio_inmobiliaria-carlucci_d52
sell,apartment,|Argentina|Capital Federal|Agronomía|,"-34.5886817,-58.5082241",,,,,,,,,,,,http://agronomia.properati.com.ar/12tli_venta_departamentos_agronomia_balcon_luminoso_aire-acondicionado_lincoln-propiedades_c08
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.6437555,-58.3745362",,,,,,,,,,,,http://barracas.properati.com.ar/wgd1_venta_departamentos_barracas
sell,house,|Argentina|Capital Federal|Caballito|,"-34.577168,-58.538654",385000,USD,5837524,385000,360,298,1069.444444,1291.946309,,4,,http://caballito.properati.com.ar/xslv_venta_casa_caballito_suite_quincho_garage
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4995624,-58.5600523",850000,USD,12888040,850000,945,338,899.4708995,2514.792899,,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/12qii_venta_casa_bs-as-g-b-a-zona-norte_santa-rita_100_suite_hidromasaje_lavadero_parrilla_piscina_quincho_toilette_vestidor_garage_hyland-harold-lomas-de-san-isidro
sell,apartment,|Argentina|Capital Federal|Congreso|,"-34.610376,-58.399243",137000,USD,2077248.8,137000,,83,,1650.60241,5,3,,http://congreso.properati.com.ar/u3du_venta_departamentos_san-nicolas
sell,apartment,|Argentina|Capital Federal|Centro / Microcentro|,"-34.6029913,-58.3895628",133000,USD,2016599.2,133000,,,,,,,,http://centro-microcentro.properati.com.ar/t2ye_venta_departamentos_centro-microcentro_montevideo_500
sell,apartment,|Argentina|Capital Federal|Parque Patricios|,"-34.6351589642,-58.4024509382",230000,USD,3487352,230000,,125,,1840,,4,,http://parque-patricios.properati.com.ar/10g78_venta_departamentos_capital-federal_luca-esteban-de_2200_suite_gimnasio_hidromasaje_lavadero_parrilla_patio_piscina_quincho_vestidor_luminoso_garage_impecable_re-max-express
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,88000,USD,1334291.2,88000,,44,,2000,,2,,http://ramos-mejia.properati.com.ar/xdfo_venta_departamentos_ramos-mejia
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6175114,-58.3961355",69500,USD,1053786.8,69500,50,37,1390,1878.378378,,2,,http://balvanera.properati.com.ar/105an_venta_departamentos_balvanera_balcon_terraza_placard_hogarfe-inmobiliaria
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Remedios de Escalada|,"-34.7281676,-58.3960892",60000,USD,909744,60000,,,,,,,,http://remedios-de-escalada.properati.com.ar/uwsj_venta_departamentos_remedios-de-escalada
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.6351277,-58.3753656",360000,USD,5458464,360000,98,0,3673.469388,,,4,6300,http://barracas.properati.com.ar/xxc3_venta_departamentos_barracas_balcon_suite_gimnasio_lavadero_parrilla_piscina_toilette_luminoso_sauna_garage_tenis_estudio-a-l
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4198269,-58.5826079",200000,USD,3032480,200000,118,104,1694.915254,1923.076923,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/12qhm_venta_casa_tigre_vicente-lopez_400_lavadero_toilette_garage_placard_estrenar_zampone-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5704401508,-58.5369591534",833830,ARS,831515.71,54840.64,,39,,21380.25641,,,,http://san-martin.properati.com.ar/11qwy_venta_departamentos_san-martin_carrera-servicios-inmobiliarios
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.5997176,-58.431371",75000,USD,1137180,75000,38,36,1973.684211,2083.333333,,2,,http://villa-crespo.properati.com.ar/10avg_venta_departamentos_villa-crespo_lavadero_migliorisi-propiedades_cy3
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,,1100000,USD,16678640,1100000,,600,,1833.333333,,,,http://adrogue.properati.com.ar/fzb0_venta_casa_adrogue
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,132000,USD,2001436.8,132000,,57,,2315.789474,,2,,http://haedo.properati.com.ar/s9qb_venta_departamentos_moron
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5913604,-58.4134397",,,,,33,29,,,,1,,http://palermo.properati.com.ar/sl67_venta_departamentos_palermo
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.630036,-58.463754",105000,USD,1592052,105000,,77,,1363.636364,4,3,,http://flores.properati.com.ar/r7wl_venta_departamentos_flores
sell,PH,|Argentina|Capital Federal|Balvanera|,"-34.599749,-58.4122179",215000,USD,3259916,215000,101,91,2128.712871,2362.637363,,3,,http://balvanera.properati.com.ar/11kv4_venta_ph_balvanera_patio_terraza_luminoso_dependencias_victorino-de-la-plaza_d03
sell,apartment,|Argentina|Capital Federal|Once|,"-34.5655303,-58.5354009",250000,USD,3790600,250000,170,170,1470.588235,1470.588235,,7,2800,http://once.properati.com.ar/l9lh_venta_departamentos_once
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|Barrio El Golf|,"-34.4124599117,-58.6436310235",,,,,259,225,,,,4,,http://barrio-el-golf-nordelta.properati.com.ar/105x3_venta_casa_barrio-el-golf_balcon_hidromasaje_lavadero_parrilla_terraza_toilette_vestidor_garage_aire-acondicionado_mosquera-gallastegui
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,127000,USD,1925624.8,127000,,96,,1322.916667,,3,,http://ramos-mejia.properati.com.ar/s94e_venta_departamentos_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,550000,USD,8339320,550000,1120,275,491.0714286,2000,,,,http://benavidez.properati.com.ar/11s3d_venta_casa_benavidez_0_suite_lavadero_parrilla_toilette_vestidor_luminoso_dependencias_losa-radiante_valencia-ana-santa-barbara
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6212406,-58.4666283",69900,USD,1059851.76,69900,43,40,1625.581395,1747.5,,,,http://flores.properati.com.ar/11dmo_venta_departamentos_flores_balcon_lavadero_luminoso_vista_placard_castro-reisse-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9222683,-57.9488466",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/sj15_venta_departamentos_la-plata
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.400314,-58.640528",460000,USD,6974704,460000,,350,,1314.285714,,5,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/xpzx_venta_casa_suite_hidromasaje_jardin_lavadero_parrilla_piscina_quincho_toilette_vestidor_garage_aire-acondicionado
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,66,,,,3,,http://ramos-mejia.properati.com.ar/v995_venta_departamentos_ramos-mejia
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.650456,-58.391583",39000,USD,591333.6,39000,,23,,1695.652174,1,2,,http://barracas.properati.com.ar/10aar_venta_departamentos_barracas_balcon_luminoso_re-max-express
